w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,setting,d,T,prior_acc,benchmark
0.5747072333720573,0.35095658242701205,0.40524590163901364,0.2560066280033138,0.9716981132075441,9.521982110755976e-07,907,0.7198412698412698,318,0.3396226415089329,420,0.6217535285555955,0.3539274048504423,0.4310344827581962,0.3099173553719004,0.7075471698113185,0.026616583517448385,594,0.4714285714285714,318,0.3679245283013856,402,0.6217535285555955,0.3539274048504423,0.4310344827581962,0.3099173553719004,0.7075471698113185,0.026616583517448385,594,0.4714285714285714,318,0.3679245283013856,402,PRCD-MAP(trust),2,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5576286236964039,0.32865396192042534,0.40577806959914375,0.25643153526970935,0.9716981132075441,9.478310277526403e-07,905,0.7182539682539683,318,0.31446540880453044,436,0.6250183605068835,0.35916218842491304,0.4337662337657478,0.36946902654867175,0.5251572327044008,0.043224270918860504,436,0.346031746031746,318,0.37735849056553655,396,0.6250183605068835,0.35916218842491304,0.4337662337657478,0.36946902654867175,0.5251572327044008,0.043224270918860504,436,0.346031746031746,318,0.37735849056553655,396,PRCD-MAP(per-group),2,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5434643272042623,0.3773340665864726,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.3522012578611341,412,0.5545073375262055,0.3746571360648547,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31761006289258076,434,0.5545073375262055,0.3746571360648547,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31761006289258076,434,DYNOTEARS,2,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5944097263950647,0.37504085356353994,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.45283018867874386,348,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,PCMCI+,2,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5363037295196892,0.3105337152475939,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,VARLiNGAM,2,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5609435297573744,0.312807520758317,0.40835579514791076,0.25986277873070307,0.9528301886792422,1.7520704835503545e-06,878,0.6968253968253968,318,0.31446540880453044,436,0.6219404718984097,0.3555489953985224,0.4292497625826735,0.3074829931972785,0.7106918238993688,0.026468175664618985,601,0.476984126984127,318,0.3805031446535868,394,0.6219404718984097,0.3555489953985224,0.4292497625826735,0.3074829931972785,0.7106918238993688,0.026468175664618985,601,0.476984126984127,318,0.3805031446535868,394,PRCD-MAP(trust),3,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5555321876377037,0.36574990852961753,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.32704402515673164,428,0.6252186569456128,0.3592479748235737,0.4334975369453816,0.3156384505021516,0.6918238993710669,0.02795616046867179,575,0.45634920634920634,318,0.3836477987416372,392,0.6252186569456128,0.3592479748235737,0.4334975369453816,0.3156384505021516,0.6918238993710669,0.02795616046867179,575,0.45634920634920634,318,0.3836477987416372,392,PRCD-MAP(per-group),3,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5386538744007798,0.3719649611783766,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.33018867924478196,426,0.5610069569629719,0.3741986461109975,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5610069569629719,0.3741986461109975,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,DYNOTEARS,3,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5944097263950647,0.37504085356353994,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.45283018867874386,348,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,0.5697932940752313,0.39611098034684217,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.34591194968503347,416,PCMCI+,3,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
0.5363037295196892,0.3105337152475939,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,0.5413912590634138,0.3061263327224478,0.40304182509473463,0.2523809523809522,0.9999999999999968,0.0,942,0.7476190476190476,318,0.31132075471648013,438,VARLiNGAM,3,CausalTime_AQI_d36_acc0.3,36,400,0.3,CausalTime_AQI_d36
