data,d,T,noise,prior_acc,seed,variant,variant_name,tau,time,w0_auroc,w0_auprc,w0_f1,w0_shd_norm,comb_auroc,comb_auprc,comb_f1,comb_shd_norm,experiment,auroc,auprc,f1_opt,shd_norm,f1_topk,target,top_m,n_features,rmse,mae
synthetic,20.0,500.0,gaussian,0.3,4,A,NoPrior,1.0,44.93765068054199,0.9107295091949823,0.6610278366899477,0.8085106382973382,0.02368421052631579,0.911221270842722,0.6941224322642524,0.6999999999994949,0.11052631578947368,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,0,C,FullModel,1.3233668804168701,46.025734186172485,0.8687140804597702,0.5623055058355377,0.7241379310339631,0.042105263157894736,0.873576529627485,0.7013697185570122,0.7328244274804049,0.09210526315789473,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,0,F,HardMask,,36.264416217803955,0.6622216235632183,0.33746547282470774,0.5283018867919543,0.06578947368421052,0.6933265778807179,0.43030465832372644,0.5289256198342062,0.15,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,0,A,NoPrior,1.0,44.460631132125854,0.8216594827586207,0.476725356525152,0.6031746031740841,0.06578947368421052,0.7890851187029531,0.5476368177133433,0.6201550387591805,0.12894736842105264,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,1,C,FullModel,0.9302009344100952,45.864471197128296,0.8488230519480521,0.5224901665876152,0.6666666666661427,0.04736842105263158,0.8557479829384861,0.6400732603807754,0.6607142857137779,0.1,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,1,F,HardMask,,35.81943154335022,0.6080560064935066,0.3165466184329887,0.4090909090904277,0.06842105263157895,0.6409887455676037,0.407633536418637,0.4086021505371743,0.14473684210526316,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,1,A,NoPrior,1.0,44.16905498504639,0.9800121753246753,0.8971609901941618,0.9473684210520985,0.007894736842105263,0.9022046353872244,0.7858992523131493,0.7692307692302692,0.06315789473684211,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,2,C,FullModel,1.0006376504898071,46.02027654647827,0.9053136704119851,0.6581724705577028,0.7499999999994689,0.031578947368421054,0.8817554722720115,0.7059826434008731,0.7454545454540324,0.07368421052631578,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,2,F,HardMask,,36.25012803077698,0.7205056179775281,0.4450867803005961,0.5454545454540247,0.05263157894736842,0.6820650697952311,0.44509290866097856,0.5052631578942461,0.12368421052631579,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,2,A,NoPrior,1.0,39.44062519073486,0.8560393258426966,0.639576581574213,0.666666666666159,0.034210526315789476,0.8300472543588072,0.6390645604015472,0.6428571428566315,0.10526315789473684,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,3,C,FullModel,0.9780749678611755,41.15225100517273,0.9273142112125163,0.7266398503245504,0.8399999999994672,0.021052631578947368,0.899375,0.7672926515489015,0.7826086956516611,0.06578947368421052,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,3,F,HardMask,,32.6055805683136,0.7634724033029118,0.4396182168267,0.6153846153840917,0.05263157894736842,0.77421875,0.5217064953427052,0.615384615384105,0.11842105263157894,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,3,A,NoPrior,1.0,38.86445951461792,0.8177966101694915,0.45976603794453674,0.6222222222217066,0.04473684210526316,0.80625,0.5524855154011927,0.6290322580640065,0.12105263157894737,synthetic,,,,,,,,,,
