w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,acc
1.0,0.9999999999999998,0.9999999999994584,0.9999999999999584,0.9999999999999584,0.08337956097856837,0,0.0,24,0.9999999999994584,0,0.9778294296441981,0.9483126248255039,0.9166666666661495,0.977777777777756,0.8627450980391987,0.09826876829616987,8,0.021052631578947368,51,0.8823529411759532,12,0.9778294296441981,0.9483126248255039,0.9166666666661495,0.977777777777756,0.8627450980391987,0.09826876829616987,8,0.021052631578947368,51,0.8823529411759532,12,trust,5,1.0
0.9833801498127341,0.9399589286274027,0.9583333333327935,0.9583333333332935,0.9583333333332935,0.08475218885508015,2,0.005263157894736842,24,0.9583333333327935,2,0.9650157935514632,0.9000042058675657,0.8723404255313998,0.9534883720930011,0.8039215686274351,0.10735277254976819,12,0.031578947368421054,51,0.8431372549014442,16,0.9650157935514632,0.9000042058675657,0.8723404255313998,0.9534883720930011,0.8039215686274351,0.10735277254976819,12,0.031578947368421054,51,0.8431372549014442,16,per-group,5,1.0
1.0,1.0,0.9999999999994644,0.9999999999999644,0.9999999999999644,0.10696878445208371,0,0.0,28,0.9999999999994644,0,0.9598050569388149,0.9421319914764291,0.9105691056905448,0.9824561403508599,0.8484848484848357,0.094384221575368,11,0.02894736842105263,66,0.8939393939388804,14,0.9598050569388149,0.9421319914764291,0.9105691056905448,0.9824561403508599,0.8484848484848357,0.094384221575368,11,0.02894736842105263,66,0.8939393939388804,14,trust,6,1.0
1.0,1.0,0.9999999999994644,0.9999999999999644,0.9999999999999644,0.11017183113337761,0,0.0,28,0.9999999999994644,0,0.9585987261146497,0.9386619712562378,0.9032258064511004,0.9655172413792936,0.8484848484848357,0.09223688187910684,12,0.031578947368421054,66,0.8787878787873655,16,0.9585987261146497,0.9386619712562378,0.9032258064511004,0.9655172413792936,0.8484848484848357,0.09223688187910684,12,0.031578947368421054,66,0.8787878787873655,16,per-group,6,1.0
0.9879261363636364,0.9658782619496905,0.9642857142851798,0.9642857142856799,0.9642857142856799,0.06872851045886476,2,0.005263157894736842,28,0.9642857142851798,2,0.9430674477993091,0.9115574468317053,0.9075630252095704,0.964285714285697,0.8571428571428436,0.08434862647224312,11,0.02894736842105263,63,0.8571428571423435,18,0.9430674477993091,0.9115574468317053,0.9075630252095704,0.964285714285697,0.8571428571428436,0.08434862647224312,11,0.02894736842105263,63,0.8571428571423435,18,trust,7,1.0
1.0,1.0,0.9999999999994644,0.9999999999999644,0.9999999999999644,0.07627298843920531,0,0.0,28,0.9999999999994644,0,0.9490761604326272,0.9229644832216997,0.9075630252095704,0.964285714285697,0.8571428571428436,0.09534123554900664,11,0.02894736842105263,63,0.8730158730153591,16,0.9490761604326272,0.9229644832216997,0.9075630252095704,0.964285714285697,0.8571428571428436,0.09534123554900664,11,0.02894736842105263,63,0.8730158730153591,16,per-group,7,1.0
1.0,1.0000000000000002,0.9999999999994524,0.9999999999999525,0.9999999999999525,0.08599081231122041,0,0.0,21,0.9999999999994524,0,0.9788713269241214,0.9389404856352194,0.8867924528296747,0.9591836734693682,0.8245614035087574,0.07165901025935034,12,0.031578947368421054,57,0.8596491228065024,16,0.9788713269241214,0.9389404856352194,0.8867924528296747,0.9591836734693682,0.8245614035087574,0.07165901025935034,12,0.031578947368421054,57,0.8596491228065024,16,trust,8,1.0
0.9660432418092586,0.8911650128406671,0.9268292682921381,0.9499999999999525,0.9047619047618618,0.13239817403668735,3,0.007894736842105263,21,0.9047619047613618,4,0.9726250611047743,0.9186137500596342,0.8571428571423444,0.9374999999999805,0.7894736842105124,0.08402191813866697,15,0.039473684210526314,57,0.8245614035082575,20,0.9726250611047743,0.9186137500596342,0.8571428571423444,0.9374999999999805,0.7894736842105124,0.08402191813866697,15,0.039473684210526314,57,0.8245614035082575,20,per-group,8,1.0
1.0,0.9999999999999999,0.9999999999994615,0.9999999999999616,0.9999999999999616,0.08902117744762095,0,0.0,26,0.9999999999994615,0,0.9531801640323718,0.9420206109865799,0.9090909090903931,0.9433962264150765,0.877192982456125,0.0791299355089964,10,0.02631578947368421,57,0.8947368421047474,12,0.9531801640323718,0.9420206109865799,0.9090909090903931,0.9433962264150765,0.877192982456125,0.0791299355089964,10,0.02631578947368421,57,0.8947368421047474,12,trust,9,1.0
1.0,0.9999999999999999,0.9999999999994615,0.9999999999999616,0.9999999999999616,0.08502810714232861,0,0.0,26,0.9999999999994615,0,0.951333441964043,0.9366949712668868,0.8971962616817283,0.9599999999999808,0.8421052631578799,0.09675612192058085,11,0.02894736842105263,57,0.8771929824556249,14,0.951333441964043,0.9366949712668868,0.8971962616817283,0.9599999999999808,0.8421052631578799,0.09675612192058085,11,0.02894736842105263,57,0.8771929824556249,14,per-group,9,1.0
