w0_auroc,w0_auprc,w0_f1_opt,w0_prec_opt,w0_rec_opt,w0_best_thr,w0_shd,w0_shd_norm,w0_k_true,w0_f1_topk,w0_shd_topk,comb_auroc,comb_auprc,comb_f1_opt,comb_prec_opt,comb_rec_opt,comb_best_thr,comb_shd,comb_shd_norm,comb_k_true,comb_f1_topk,comb_shd_topk,auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,seed,setting,variant,d,acc_high,acc_low,nonlinear
0.9645510335917312,0.904185583201138,0.9117647058818278,0.9687499999999697,0.8611111111110872,0.18655831789850588,6,0.015789473684210527,36,0.8888888888883641,8,0.9034562211981567,0.8519558331185006,0.8270676691724212,0.8730158730158591,0.7857142857142746,0.08041306805970082,23,0.060526315789473685,70,0.7999999999994886,28,0.9034562211981567,0.8519558331185006,0.8270676691724212,0.8730158730158591,0.7857142857142746,0.08041306805970082,23,0.060526315789473685,70,0.7999999999994886,28,trust,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9537306201550387,0.849326555840065,0.9142857142851885,0.9411764705882075,0.8888888888888642,0.11964323532641233,6,0.015789473684210527,36,0.8888888888883641,8,0.8990783410138249,0.8548355964876267,0.829629629629118,0.8615384615384484,0.7999999999999886,0.07710341832146572,23,0.060526315789473685,70,0.7999999999994886,28,0.8990783410138249,0.8548355964876267,0.829629629629118,0.8615384615384484,0.7999999999999886,0.07710341832146572,23,0.060526315789473685,70,0.7999999999994886,28,per-group,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9675387596899224,0.9045989321345373,0.9142857142851885,0.9411764705882075,0.8888888888888642,0.1423540516714355,6,0.015789473684210527,36,0.8888888888883641,8,0.9080645161290323,0.8655055920699074,0.8484848484843375,0.9032258064515983,0.7999999999999886,0.08541243100286129,20,0.05263157894736842,70,0.7999999999994886,28,0.9080645161290323,0.8655055920699074,0.8484848484843375,0.9032258064515983,0.7999999999999886,0.08541243100286129,20,0.05263157894736842,70,0.7999999999994886,28,fixed-tau,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9471899224806202,0.776281878344046,0.8732394366191938,0.8857142857142604,0.8611111111110872,0.14989331828888938,9,0.02368421052631579,36,0.8611111111105871,10,0.8820276497695853,0.7228378502813236,0.739130434782098,0.749999999999989,0.7285714285714182,0.08891976508662928,36,0.09473684210526316,70,0.7285714285709182,38,0.8820276497695853,0.7228378502813236,0.739130434782098,0.749999999999989,0.7285714285714182,0.08891976508662928,36,0.09473684210526316,70,0.7285714285709182,38,no-prior,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.5202680878552972,0.26341098048297684,0.4358974358969277,0.4047619047618951,0.47222222222220905,0.18942349879585918,44,0.11578947368421053,36,0.41666666666615504,42,0.6699078341013824,0.3645845794556007,0.4477611940293451,0.46874999999999273,0.4285714285714225,0.11838968674741197,74,0.19473684210526315,70,0.4285714285709225,80,0.6699078341013824,0.3645845794556007,0.4477611940293451,0.46874999999999273,0.4285714285714225,0.11838968674741197,74,0.19473684210526315,70,0.4285714285709225,80,DYNOTEARS,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.8749192506459949,0.6497503982014432,0.7179487179482025,0.6666666666666508,0.7777777777777561,0.0025302928532381554,22,0.05789473684210526,36,0.6944444444439251,22,0.8216589861751152,0.6448783199826632,0.633093525179347,0.6376811594202807,0.6285714285714197,0.08096937130362097,51,0.13421052631578947,70,0.6285714285709196,52,0.8216589861751152,0.6448783199826632,0.633093525179347,0.6376811594202807,0.6285714285714197,0.08096937130362097,51,0.13421052631578947,70,0.6285714285709196,52,PCMCI+,0,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9479166666666666,0.8351481038508197,0.8611111111105871,0.8611111111110872,0.8611111111110872,0.09959974121208766,10,0.02631578947368421,36,0.8611111111105871,10,0.8938248847926267,0.7903347992183725,0.7611940298502359,0.7968749999999876,0.7285714285714182,0.08537120675321799,32,0.08421052631578947,70,0.7428571428566324,36,0.8938248847926267,0.7903347992183725,0.7611940298502359,0.7968749999999876,0.7285714285714182,0.08537120675321799,32,0.08421052631578947,70,0.7428571428566324,36,trust,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.8886466408268734,0.6536264410345358,0.6874999999994862,0.7857142857142577,0.6111111111110941,0.1489260388379121,20,0.05263157894736842,36,0.638888888888371,26,0.8301382488479263,0.6434040600733772,0.6370370370365283,0.6615384615384514,0.6142857142857056,0.09138643292326425,49,0.12894736842105264,70,0.6285714285709196,52,0.8301382488479263,0.6434040600733772,0.6370370370365283,0.6615384615384514,0.6142857142857056,0.09138643292326425,49,0.12894736842105264,70,0.6285714285709196,52,per-group,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9390342377260983,0.8038167653321115,0.8450704225346874,0.8571428571428326,0.8333333333333102,0.13136122244686338,11,0.02894736842105263,36,0.83333333333281,12,0.8976036866359447,0.780266627264123,0.7659574468079997,0.7605633802816795,0.7714285714285605,0.08256991125231412,33,0.0868421052631579,70,0.7714285714280603,32,0.8976036866359447,0.780266627264123,0.7659574468079997,0.7605633802816795,0.7714285714285605,0.08256991125231412,33,0.0868421052631579,70,0.7714285714280603,32,fixed-tau,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9161821705426356,0.7159571603073985,0.7384615384610215,0.8275862068965232,0.6666666666666481,0.1747291195931746,17,0.04473684210526316,36,0.6944444444439251,22,0.857926267281106,0.6918729816803673,0.6666666666661571,0.6764705882352843,0.6571428571428478,0.09196269452272349,46,0.12105263157894737,70,0.6571428571423478,48,0.857926267281106,0.6918729816803673,0.6666666666661571,0.6764705882352843,0.6571428571428478,0.09196269452272349,46,0.12105263157894737,70,0.6571428571423478,48,no-prior,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.2704295865633075,0.09074270692276051,0.17307692307676412,0.0947368421052629,0.9999999999999721,0.0,344,0.9052631578947369,36,0.13888888888838505,62,0.5609216589861751,0.2566268421945559,0.34196891191663265,0.2682926829268271,0.4714285714285647,0.06779827903862574,127,0.33421052631578946,70,0.2999999999994957,98,0.5609216589861751,0.2566268421945559,0.34196891191663265,0.2682926829268271,0.4714285714285647,0.06779827903862574,127,0.33421052631578946,70,0.2999999999994957,98,DYNOTEARS,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.8234819121447027,0.6274907111697016,0.6956521739125242,0.7272727272727052,0.6666666666666481,0.04715521538310827,21,0.05526315789473684,36,0.666666666666148,24,0.8083870967741935,0.6284379139677824,0.575999999999498,0.6545454545454427,0.514285714285707,0.0838314940144147,53,0.1394736842105263,70,0.528571428570921,66,0.8083870967741935,0.6284379139677824,0.575999999999498,0.6545454545454427,0.514285714285707,0.0838314940144147,53,0.1394736842105263,70,0.528571428570921,66,PCMCI+,1,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
1.0,1.0,0.9999999999994722,0.9999999999999721,0.9999999999999721,0.09021548470061029,0,0.0,36,0.9999999999994722,0,0.9492165898617512,0.923761065151839,0.88721804511227,0.9365079365079216,0.8428571428571309,0.08119393623054925,15,0.039473684210526314,70,0.871428571428059,18,0.9492165898617512,0.923761065151839,0.88721804511227,0.9365079365079216,0.8428571428571309,0.08119393623054925,15,0.039473684210526314,70,0.871428571428059,18,trust,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9847383720930233,0.9186110516739561,0.9589041095885147,0.9459459459459203,0.9722222222221951,0.07437491087458241,3,0.007894736842105263,36,0.9444444444439181,4,0.9359447004608296,0.8719168892422282,0.8592592592587472,0.8923076923076787,0.8285714285714167,0.07933323826622124,19,0.05,70,0.857142857142345,20,0.9359447004608296,0.8719168892422282,0.8592592592587472,0.8923076923076787,0.8285714285714167,0.07933323826622124,19,0.05,70,0.857142857142345,20,per-group,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
1.0,1.0,0.9999999999994722,0.9999999999999721,0.9999999999999721,0.07788065869604523,0,0.0,36,0.9999999999994722,0,0.950783410138249,0.9301778361694331,0.9037037037031911,0.9384615384615241,0.871428571428559,0.08076512753663949,13,0.034210526315789476,70,0.871428571428059,18,0.950783410138249,0.9301778361694331,0.9037037037031911,0.9384615384615241,0.871428571428559,0.08076512753663949,13,0.034210526315789476,70,0.871428571428059,18,fixed-tau,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9807009043927648,0.9317879932696692,0.8955223880591776,0.9677419354838398,0.8333333333333102,0.13575849041866897,7,0.018421052631578946,36,0.8888888888883641,8,0.9320737327188939,0.8633224683400462,0.8137931034477652,0.7866666666666562,0.8428571428571309,0.07203511736500802,27,0.07105263157894737,70,0.7999999999994886,28,0.9320737327188939,0.8633224683400462,0.8137931034477652,0.7866666666666562,0.8428571428571309,0.07203511736500802,27,0.07105263157894737,70,0.7999999999994886,28,no-prior,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.42482235142118857,0.1752274058772991,0.29629629629584087,0.4444444444444198,0.22222222222221605,0.4385103945756078,38,0.1,36,0.2777777777772701,52,0.6927649769585253,0.317245416187314,0.4607329842927246,0.36363636363636065,0.6285714285714197,0.0715935338082625,103,0.2710526315789474,70,0.31428571428520985,96,0.6927649769585253,0.317245416187314,0.4607329842927246,0.36363636363636065,0.6285714285714197,0.0715935338082625,103,0.2710526315789474,70,0.31428571428520985,96,DYNOTEARS,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.8752422480620154,0.6599232555654421,0.7179487179482025,0.6666666666666508,0.7777777777777561,0.002652298416990936,22,0.05789473684210526,36,0.6944444444439251,22,0.8401382488479263,0.6644019190921522,0.6363636363631286,0.6774193548386988,0.5999999999999914,0.08487354934370996,48,0.12631578947368421,70,0.6285714285709196,52,0.8401382488479263,0.6644019190921522,0.6363636363631286,0.6774193548386988,0.5999999999999914,0.08487354934370996,48,0.12631578947368421,70,0.6285714285709196,52,PCMCI+,2,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
0.9513888888888888,0.8969806387339412,0.8823529411759463,0.9374999999999707,0.8333333333333102,0.13244349453317458,8,0.021052631578947368,36,0.83333333333281,12,0.9618684012066365,0.9043344307414516,0.8428571428566313,0.8194444444444331,0.8676470588235167,0.06783691183406504,22,0.05789473684210526,68,0.8235294117641938,24,0.9618684012066365,0.9043344307414516,0.8428571428566313,0.8194444444444331,0.8676470588235167,0.06783691183406504,22,0.05789473684210526,68,0.8235294117641938,24,trust,3,BA_d20_h95_l20_LIN,v1,20,0.95,0.2,False
